edge_count,pentagons,triangles,squares,circles,halfcircles,blob_count,color_count,class
751,23,28,352,35,233,161,2,Post-impressionism
116,0,0,1,0,2,1,2,Hard-Edge-Art
287,0,0,15,2,6,5,2,ORPHISM
239,1,0,37,4,49,4,2,Cubism
56,0,0,4,0,2,0,1,Hard-Edge-Art
265,2,3,54,12,82,8,1,Op-Art
143,11,5,157,3,26,35,1,ActionPainting
943,30,34,1288,33,229,56,2,Cubism
287,6,3,143,2,57,15,1,Surreal-Surrealism
1030,19,31,495,25,141,86,1,Post-impressionism
439,15,17,301,8,62,41,2,Hard-Edge-Art
358,3,2,77,5,90,13,2,Cubism
337,3,3,84,7,39,16,1,Surreal-Surrealism
1897,3,1,70,3,25,10,2,Op-Art
290,0,0,7,1,12,0,1,Minimalism-Art
872,26,12,378,46,304,77,1,Post-impressionism
842,20,13,526,38,169,47,3,Cubism
896,27,41,702,37,222,93,1,ORPHISM
153,5,3,121,4,17,32,2,ActionPainting
187,5,3,91,8,20,27,1,Surreal-Surrealism
407,8,14,318,20,130,102,2,Surreal-Surrealism
517,27,35,469,39,203,122,2,Post-impressionism
298,3,3,289,2,40,6,1,ORPHISM
329,10,8,100,6,54,26,1,Cubism
118,0,0,74,4,17,1,4,Hard-Edge-Art
58,0,0,0,0,2,4,2,Hard-Edge-Art
2300,175,140,8790,165,959,263,2,Expressionism
373,11,7,48,11,31,6,3,Hard-Edge-Art
1636,55,47,1088,113,578,164,3,Post-impressionism
2352,67,68,1530,123,845,331,3,Post-impressionism
488,3,5,93,10,84,19,1,Cubism
928,2,0,1,1,1,0,1,Op-Art
61,5,1,25,3,8,4,1,Minimalism-Art
93,0,2,1,0,0,3,1,Minimalism-Art
540,25,24,822,52,297,133,1,Minimalism-Art
381,5,6,267,8,80,15,3,ORPHISM
470,0,0,2,0,0,23,1,ActionPainting
43,12,8,73,2,24,6,2,Colour-Field-Painting
847,56,97,1007,39,237,140,1,Surreal-Surrealism
1281,24,36,184,42,334,248,1,Op-Art
43,0,0,2,0,1,1,2,Hard-Edge-Art
629,1,1,12,3,37,65,1,Op-Art
90,28,41,461,35,139,31,1,Colour-Field-Painting
129,1,1,78,2,20,5,1,ActionPainting
296,4,3,99,14,56,8,2,Surreal-Surrealism
456,21,16,704,29,112,30,3,ORPHISM
1204,1,0,104,7,84,3,2,Op-Art
521,8,5,93,9,79,41,2,Cubism
90,2,6,19,1,16,19,1,Minimalism-Art
291,8,6,32,4,38,8,2,Surreal-Surrealism
46,0,0,10,2,9,0,2,Hard-Edge-Art
206,0,1,3,0,4,0,3,ORPHISM
1038,56,99,1125,52,404,139,3,Expressionism
117,6,1,188,5,30,10,2,ORPHISM
507,12,11,336,10,71,70,3,ActionPainting
553,11,9,180,13,100,34,1,Surreal-Surrealism
633,34,58,911,30,211,130,1,Expressionism
382,4,0,55,5,59,33,2,Minimalism-Art
1128,42,18,619,68,302,139,2,Post-impressionism
275,4,11,83,7,46,11,2,Surreal-Surrealism
586,35,37,475,37,170,105,2,Expressionism
2504,55,166,435,37,251,27,2,Colour-Field-Painting
460,17,21,578,32,132,35,1,Surreal-Surrealism
353,0,0,7,4,15,18,2,ActionPainting
5001,2,1,14,44,16,56,1,Op-Art
394,8,17,112,6,27,49,1,ORPHISM
565,30,37,316,39,134,121,2,ORPHISM
1744,61,34,1359,69,542,166,3,Cubism
29,3,8,40,10,28,1,2,Minimalism-Art
251,15,14,49,10,65,9,2,ORPHISM
750,15,8,171,26,235,71,2,Surreal-Surrealism
1307,9,8,305,24,631,110,2,Op-Art
922,44,86,1088,63,348,198,3,Expressionism
